F1,College or VP,Program Name,Description,URL,Inclusive Excellence area,Notes,constituent group
25,Engineering,C-Tech2 - Computers and Technology at Virginia Tech,Virginia Tech’s College of Engineering invites rising junior and senior high school girls to participate in a program called C-Tech2 - Computers and Technology at Virginia Tech,http://www.eng.vt.edu/ctech2,Access and Success,,Graduate and Professional Students; Faculty Members
34,Engineering,Engineering Living Learning Communities,Hypatia and Galileo are the engineering living learning communities directed by CEED. The goal of these communities is to bring together first-year and upper class engineering students in a residential environment that provides encouragement and support during their pursuit of engineering degrees,http://www.eng.vt.edu/residentialprograms,Campus Climate and Intergroup Relations,,Faculty Members (specifically African American and Hispanic tenured and tenure track faculty)
23,Engineering,Graduate Student Peer Mentoring,The graduate student peer mentoring program is primarily designed for first year graduate students in the College of Engineering.,https://www.eng.vt.edu/gradstudies/peermentoring,Access and Success,,Faculty Members; Staff Members
,Engineering,Recruiting Initiative for Student Engineers (RISE),"RISE is a series of events that begins with an invitation to the spring football game, tailgate and engineering activities for high school sophomores. Students are then invited back to campus each semester through their senior year of high school. Each event is designed to showcase the College of Engineering and the Virginia Tech campus to the students. This is an event that targets underrepresented students in the Tidewater, Hampton Roads and Northern Virginia areas and is by invitation only from the CEED office. ",No information,Access and Success,,Faculty Members; Staff Members; Other (employee families)
28,Engineering,Imagination," We have engineers, scientists, and college students who are ready to help you explore the world of technology, engineering, and science not by watching, but by DOING!",http://www.eng.vt.edu/imagination,Access and Success,,Faculty Members; Staff Members; Undergraduate Students; Graduate and Professional Students; Alumni; Other 
24,Engineering,MAOP (Multicultural Academic Opportunities Program),"The Multicultural Academic Opportunities Program (MAOP), founded in 1993, is an academic success community founded upon the principles of self- efficacy, mentoring, and peer support",http://www.maop.vt.edu/index.html,Access and Success,,Faculty Members; Staff Members; Undergraduate Students; Graduate and Professional Students; Alumni; Other 
29,Engineering,Mentoring,Through the CEED Peer Mentoring Program you will be assigned to a small group of about 10 freshmen and one upper-class mentor,http://www.eng.vt.edu/mentoring,Access and Success,,Faculty Members; Staff Members; Undergraduate Students; Graduate and Professional Students; Alumni; Other 
,Engineering,"National Consortium for Graduate Degrees for Minorities in Engineering and Science, Inc. (GEM) Scholarship Programs","Virginia Tech is a member of the GEM Consortium. GEM's mission is to enhance the value of the nation's human capital by increasing the participation of underrepresented minorities (American Indian, African American, Mexican American, Puerto Rican, and other Hispanic Americans) at the master's and doctoral levels in engineering and science.",http://graduateschool.vt.edu/financial/for_departments/gs_funding.html#Dean%27s%20Diversity%20Assistantships,Access and Success,,Other (High School Students)
27,Engineering,PCI- Pre-College Initiative,"PCI is an annual pre-college program sponsored by Virginia Tech’s National Society of Black Engineers (NSBE) and the Center for the Enhancement of Engineering Diversity (CEED). PCI targets 9 – 12 grade African American students to provide encouragement, support, and assistance in their pursuit of a college education.",https://www.eng.vt.edu/students/prospective/discover;    http://www.nsbe.org.vt.edu/#!pci/c70d,Access and Success,,Undergraduate Students
26,Engineering,STEP - Student Transition Engineering Program,Virginia Tech is sponsoring a five-week orientation program for first-year students entering the College of Engineering.,http://www.eng.vt.edu/step,Access and Success,,Undergraduate Students; Other (High School Students)
,Engineering,Women's Preview Weekend,Women's Preview Weekend provides an opportunity for women who have been offered admission to the College of Engineering to visit the campus and make an informed decision about attending the college at Virginia Tech,http://www.eng.vt.edu/preview,Access and Success,,Faculty Members (specifically underrepresented faculty)
,Graduate School,Holistic Evaluation for Graduate Admissions,"This initiative will identify and implement quality practices of holistic evaluation in graduate admissions. The purpose of holistic evaluation would be to approach admission from an inclusive perspective rather than an exclusion process. Following admissions, admitted students will be asked to identify attributes so that we can provide a welcoming environment through meaningful and relevant services and programs.",,Access and Success,,Undergraduate Students (specifically new underrepresented students)
,Graduate School,Creating Affirming Environment for Graduate Education,"Create affirming academic and professional environments for graduate education is critical to success in graduate education.  This initiative will assist faculty (departments) to create affirming communities and environments through advising, mentoring, anti-bullying and bias (explicit, implicit) free programs.",,Campus Climate and Intergroup Relations; Education and Scholarship,,Faculty Members (specifically senior administrators)
,Graduate School,Inclusive Graduate Life Center,"This initiative will establish the GLC as an “inclusiveVT” space, make visible the inclusive nature of our collective efforts, establish expectations for behavior and interaction in the GLC based upon the Principles of Community as well as the Graduate School’s 2010 aspirations and vision for graduate education.",,Campus Climate and Intergroup Relations; Education and Scholarship; Institutional Infrastructure,,Faculty Members; Graduate and Professional Students; Postdoctoral Fellows
189,Graduate School,Office of Graduate Recruiting and Diversity Initiatives (ORDI),"The ORDI is committed to supporting departments in efforts which promote diversity and inclusion for graduate students. Each year, a call for diversity initiatives will be sent out to all departments. Proposals can include recruitment, retention, or research efforts which promote diversity. Dannette Gomez Beane dannette@vt.edu",https://graduateschool.vt.edu/diversity#sthash.SVgCFp0u.pdf,Access and Success,,Faculty Members
38,Graduate School,Coordinated School Visits Program,"The purpose of the Virginia Tech Coordinated School Visit Program (CSVP) is to recruit competitive graduate students who identify as members of underrepresented groups and to implement effective retention strategies to integrate these students into the Virginia Tech community, while establishing and maintaining strong connections with faculty from minority-serving universities.",http://csvp.graduateschool.vt.edu/,Access and Success,,Faculty Members
39,Graduate School,Dean Diversity Assistantships,Dean's Diversity Assistantships are funding opportunities targeted at recruiting underrepresented students. Departments are asked to nominate prospective students for these funds - See more at: http://graduateschool.vt.edu/financial/for_departments/gs_funding.html#Dean%27s%20Diversity%20Assistantships,http://graduateschool.vt.edu/financial/for_departments/gs_funding.html#Dean%27s%20Diversity%20Assistantships,Campus Climate and Intergroup Relations,,Faculty Members; Staff Members; Community
41,Graduate School,Diversity Dialogues,,http://blogs.lt.vt.edu/diversity/,Campus Climate and Intergroup Relations,,Undergraduate Students
45,Graduate School,Diversity Scholars Program,"Diversity scholars are graduate students who specialize in and advocate for the awareness, knowledge, and skills associated with diversity and inclusion in the Graduate School and greater community - See more at: http://graduateschool.vt.edu/diversity/scholars_program#sthash.80EsoxwA.dpuf",http://graduateschool.vt.edu/diversity/scholars_program,Education and Scholarship,,Faculty Members
,Graduate School,Graduate Preview Weekend,Graduate Preview Weekend is a visitation program aimed at increasing diversity in graduate education. The Graduate School invites prospective students to campus for a weekend to interview and/or meet with faculty and current students to learn more about Virigina Tech.,,Access and Success,,Undergraduate Students
,Graduate School,Office of Graduate Recruiting and Diversity Initiatives (ORDI)- Mini-Grants,"The Graduate School Office of Recruitment and Diversity Initiatives requests proposals from any academic unit to improve the recruitment, retention, climate, mentoring and graduation of a diverse student population.",https://survey.vt.edu/survey/entry.jsp?id=1344880978967,Campus Climate and Intergroup Relations,,Faculty Members; Staff Members
,Graduate School,2013 Graduate Student Climate Survey,"In spring 2013, 846 Virginia Tech graduate students responded to an online survey commisssioned by the Graduate School, Division of Student Affairs, and the Office of Diversity and Inclusion to help campus administrators understand the experiences and concerns of students enrolled at the Blacksburg campus. The survey included questions regarding campus support and resources, campus safety, faculty advising, department climate, finanical support, and campus diversity. The results were analyzed and reported by a team of graduate students and administrators.",http://graduateschool.vt.edy/climate_report_2013,Campus Climate and Intergroup Relations,,Faculty Members (Administrative and Professional); Staff; Other (wage and student employees in Administrative Services area)
43,Graduate School,Black Graduate Student Organization,BGSO at Virginia Tech was founded to promote a greater sense of community among graduate students of African descent.,http://www.bgso.org.vt.edu/about.html,Campus Climate and Intergroup Relations,,Staff Members (specifically staff members in facilities)
44,Graduate School,Latin American and Iberian Graduate Students Association (LAIGSA),"LAIGSA (Latin American and Iberian Graduate Students Association represents 22 countries from South America, Latin America, the Caribbean and Europe",https://gobblerconnect.vt.edu/organization/laigsa,Campus Climate and Intergroup Relations,,Undergraduate Students; Graduate and Professional Students; Faculty Members; Staff Members; Community
42,Graduate School,Queer Grads and Allies at Virginia Tech,No Information,http://www.qga.org.vt.edu/,Campus Climate and Intergroup Relations,,Undergraduate Students; Graduate and Professional Students; Faculty Members; Staff Members; Alumni
,Liberal Arts and Human Sciences,Disabilities Studies,"Disabilities studies refers to the development of new academic programs, research collaborations, and service activities related to individuals, families, and communities. Disabilities studies encompasses a broad approach inclusive of diverse populations with physical, cognitive, social, or other limitations across the life span and in a variety of social contexts. Significant topics in disabilities studies include health care policy, caregiving, partnerships between families, schools, and work, adaptive technology, financial planning, and universal design.",,Access and Success; Education and Scholarship; Campus Climate and Intergroup Dialogue; Institutional Infrastructure,,"Undergraduate Students; Faculty Members (Administrative and Professional), Alumni"
,Liberal Arts and Human Sciences,College Mentors for Kids,"College Mentors for Kids is a national organization that recruits undergraduates to serve as mentors for elementary school pupils. By connecting with pupils in the early grades, this project is designed to provide children, often from economically disadvantaged families, with a model of academic success as well as a source of encouragement. CLAHS will partner with Student Affairs to develop the College Mentors of Kids Program in the form of a VT chapter. This initiative is designed to improve access and success by encouraging primary school children to see a path to higher education in their futures.    ",,Access and Success,,Undergraduate Students; Graduate Students; Alumni
,Liberal Arts and Human Sciences,Veteran Studies,"Veterans Studies is a broad effort to introduce educational initiatives such as an undergraduate minor and a graduate certificate; advance and sustain research on the lives and contributions of veterans; improve institutional support for veterans through student affairs, the graduate school, and advising offices; enhance access into undergraduate and graduate programs; and take steps to address climate issues that specifically affect veterans in the student body. The Veterans Studies program at Virginia Tech will combine education and scholarship in ways that promote access and success, improve institutional infrastructure, and contribute to enhancing campus climate and inter-group relations.",,Access and Success; Campus Climate and Intergroup Relations; Education and Scholarship; Institutional Infrastructure,,Alumni; Other (private donors and funding agencies)
54,Liberal Arts and Human Sciences,College Diversity Council,No Information,http://www.clahs.vt.edu/faculty-staff/committees/diversity/index.html,Institutional Infrastructure,,Alumni; Other (private donors and friends)
49,Liberal Arts and Human Sciences,Diversity Award,"The Diversity Award honors faculty, staff and graduate students who have made a significant contribution to improve campus climate with regards to issues of inclusiveness at Virginia Tech.",http://www.clahs.vt.edu/faculty-staff/office-of-the-dean/honors-awards/guidelines/diversity.html,Education and Scholarship,,Faculty Members; Staff Members; Undergraduate Students; Graduate and Professional Students; Alumni; Other (donors and friends)
,Liberal Arts and Human Sciences,Departmental Diversity Grant Program,"The College of Liberal Arts and Human Sciences is funding a small grants program available to departments within the college to promote creative ideas and projects focused on building an inclusive environment in CLAHS departments at Virginia Tech. The CLAHS Diversity Committee has suggested the following activities to focus college efforts to build a diverse and inclusive community, although other activities may be proposed: • Enhancing the place of diversity in departmental, CLAHS and university curricula• Leadership in initiating and implementing public conversations about diversity• Integrating diversity into scholarship, outreach, arts, and performance• Recruitment and retention of faculty, students, and staff• Classroom/laboratory climate for students, graduate and undergraduate• Integration of diversity topics into classroom, lab, and studio activities • Advancing diversity through activities and outreach with broad impact• Support for diverse populations in and across departments, colleges and campus.",,,,Faculty Members; Staff Members; Other (Diverse vendor community and internal stakeholders)
,Liberal Arts and Human Sciences,Undergraduate Diversity Scholars,"The Undergraduate Diversity Scholars Program is a part of the College of Liberal Arts and Human Sciences’ Undergraduate Research Institute. It is a cohort of students who want to conduct research on issues related to diversity and inclusion as they pertain to race, ethnicity, class, gender, sexual orientation, religion, culture, nationality, language, disability, age, and other identifying characteristics. Students who are a part of the Undergraduate Diversity Scholars Program, will be expected to complete an undergraduate research project by the end of the Spring 2015 Semester and present their findings at the CLAHS Undergraduate Research Symposium on Diversity. Research can be performed in any discipline, department, and program in CLAHS, including those from creative disciplines. ",,,,Faculty Members; Staff Members
52,Liberal Arts and Human Sciences,Diversity Faculty Fellow,Richard Masters appointed diversity Fellow for College of Liberal Arts and Human Sciences.,http://www.vtnews.vt.edu/articles/2013/12/121813-clahs-richardmasters.html,Education and Scholarship,,Undergraduate Students
55,Liberal Arts and Human Sciences,Diversity Strategic Plan,"The College of Liberal Arts and Human Sciences welcomes and values diversity in curriculum, academic programs, people and activities.",http://www.clahs.vt.edu/the-college/college-priorities/diversity/diversity_plan__final_2013.pdf,Institutional Infrastructure,,Faculty Members; Staff Members
50,Liberal Arts and Human Sciences,Minor in Diversity and Community Engagement,The Diversity and Community Engagement Minor is a multidisciplinary program housed in the College of Liberal Arts & Human Sciences. ,http://www.undergraduate.clahs.vt.edu/special-programs/diversity-community-engagement-minor/index.html,Education and Scholarship,,Undergraduate Students; Graduate and Professional Students; Faculty Members; Staff Members
47,Liberal Arts and Human Sciences,Student Ambassadors,Represent the College of Liberal Arts & Human Sciences at various events and Volunteer Activities,https://gobblerconnect.vt.edu/organization/CLAHSAmbassadors,Access and Success,,Undergraduate Students; Graduate and Professional Students; Faculty Members; Staff Members; Other
51,Liberal Arts and Human Sciences,Student Diversity Symposium,"The College of Liberal Arts and Human Sciences held its inaugural Undergraduate Research Symposium on Diversity, “Improving Local and Global Communities Through Enhancing Diversity.",http://www.undergraduate.clahs.vt.edu/special-programs/clahs-diversity-symposium/index.html,Education and Scholarship,,Undergraduate Students; Faculty members; Other (high school students)
,Liberal Arts and Human Sciences,Race and Social Policy Center,"The Race and Social Policy (RSP) Research Center was formed in April 2001 as a University Center to fulfill two primary goals: (1) to conduct and disseminate original research in the area of public policy with a direct emphasis on race and ethnicity; and (2) to prepare promising graduate students to think and speak critically, plan quality research, and contribute to public-policy discussions related to race and ethnicity. The Center promotes a broad and inclusive concept of race and ethnicity, which includes African Americans, American Indians, Asian Americans, European Americans, Latinos, and bi-racial and multi-racial identities. RSP research projects involve the development and evaluation of public policy across different racial and ethnic contexts and within myriad public policy venues, including welfare, employment, education, and health as well as community outreach. ",,,,Faculty Members; Other (teachers)
,Natural Resources and Environment,CNRE Cultures,CNRE Cultures is an organized event in the college to bring awareness and recognition to the many cultures represented within the college. Table displays and information about the cultures represented in the college will be assembled.,,Access and Success; Campus Climate and Intergroup Relations; Education and Scholarship,,Undergraduate Students; Graduate and Professional Students; Faculty Members
,Natural Resources and Environment,Diversity Mural,"CNRE Diversity Mural is a physical sign of our awareness of diversity and inclusion. The mural will be placed on a large wall in the entrance to Cheatham Hall, in the student lounge adjacent to the foyer. With an opportunity to celebrate human and ecological diversity, the mural will be a creative expression of diversity in a unique way that binds a core area of our scholarship (ecological diversity) with human diversity, thereby creating a unique statement of our awareness of diversity and inclusion.  ",,Access and Success; Campus Climate and Intergroup Relations; Education and Scholarship; Institutional Infrastructure,,Faculty Members; Staff Members; Community
,Natural Resources and Environment,VTcnreIncludesME-An Inclusive Video,"VTcnreIncludesME is a tandem video production to our ‘first generation’ video completed in 2014 and posted to our college homepage. VTcnreIncludesME is an inclusion initiative whereby individuals appear in the video and describe why CNRE includes them, in their own words.  The video will be a 3-5 minute production with up to 10-12 individuals describing how they are included in CNRE. Ranging from undergraduates to faculty, many voices will be heard describing how they are included in the college.",,Access and Success; Campus Climate and Intergroup Relations; Education and Scholarship; Institutional Infrastructure,,Undergraduate Students; Graduate and Professional Students; Faculty Members; Staff Members; Other
58,Natural Resources and Environment,"MANNRS (Minorities in Agriculture, Natural Resources, and Related Sciences)","MANRRS seeks to promote careers in Agriculture, Natural Resources, and other related Sciences",http://cnre.vt.edu/students/clubs-organizations/minorities/,Access and Success,,Graduate and Professional Students 
56,Natural Resources and Environment,Student Ambassador Program,"CNRE Ambassadors work closely with the Academic Programs Office to serve as guides and recruiters for prospective students and their parents, represent the College at university-sponsored events such as Open Houses, act as hosts at alumni receptions and events, and help teach several Natural Resources First Year Experience labs.",http://cnre.vt.edu/students/clubs-organizations/ambassadors/index.html,Access and Success,,Undergraduate Students; Graduate and Professional Students; Other (incoming Freshmen and Transfer TRiO students)
